Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
        0    1.09223e+01   7.06407e-03    1.00000e+00    1.00000e+00                0
        1    6.12200e-01   5.45742e-03    2.27439e-01    3.16277e-01               32
        2    6.47321e-01   5.05803e-03    7.31833e-02    1.41614e-01               29
        3    8.55257e-03   4.10949e-03    1.87531e-01    3.50648e-01               27
        4    2.55310e-02   4.07266e-03    8.96237e-03    2.27865e-01               16
        5    2.07499e-02   4.03128e-03    1.01610e-02    3.85641e-01               19
        6    1.98612e-02   3.97098e-03    1.49570e-02    1.20016e-01               23
        7    1.80094e-02   3.86905e-03    2.56701e-02    8.37118e-01               14
        8    1.19475e-01   3.82001e-03    1.26756e-02    3.04793e-01               17
        9    2.34857e-01   3.67380e-03    3.82742e-02    2.36714e-01               26
       10    2.10052e-01   3.53195e-03    3.86119e-02    2.10229e-01               29
       11    2.88683e+03   3.51388e-03    5.11386e-03    3.37564e-02               36
       12    3.61913e-02   3.51259e-03    3.67596e-04    2.26983e-03               89
       13    2.82200e-02   3.50596e-03    1.88719e-03    1.01961e-02               32
       14    2.21955e-01   3.45660e-03    1.40807e-02    7.03577e-02               22
       15    8.34054e-02   3.43569e-03    6.04954e-03    4.88105e-02               33
       16    1.10155e-01   3.29534e-03    4.08489e-02    7.59187e-02               27
       17    2.43169e-02   3.25696e-03    1.16478e-02    4.24988e-02               31
       18    2.83870e-01   2.48118e-03    2.38190e-01    2.48349e-01               17
       19    6.57249e+00   2.40584e-03    3.03659e-02    4.03886e-02               36
       20    2.50975e-01   2.40358e-03    9.37257e-04    3.51634e-03               61
       21    9.72002e-02   2.39077e-03    5.32971e-03    1.76933e-02               39
       22    1.92355e+04   2.09551e-03    1.23501e-01    1.42485e-01               25
       23    1.55978e+00   2.01817e-03    3.69072e-02    1.24779e-02               81
       24    5.06734e+02   2.01817e-03    2.01350e-13    1.52063e-14              163
       25    2.33006e+01   2.01817e-03    4.29776e-15    4.92493e-15              194
       26    5.41296e+05   2.01817e-03    1.28933e-15    5.79603e-17              200
       27    2.37349e+01   1.92735e-03    4.50008e-02    2.47890e-03               96
       28    6.14711e+00   1.87143e-03    2.90173e-02    2.96599e-02               48
       29    1.25028e-01   1.86865e-03    1.48088e-03    8.87926e-04               58
       30    4.80996e-02   1.86396e-03    2.51071e-03    7.86494e-03               36
       31    1.65385e-01   1.85326e-03    5.74167e-03    7.78717e-03               33
       32    9.41271e+00   1.82642e-03    1.44829e-02    3.01987e-02               33
       33    8.08367e-02   1.82538e-03    5.66399e-04    1.36205e-03               65
       34    2.22733e-02   1.82415e-03    6.73970e-04    3.19841e-03               41
       35    3.39985e-01   1.82077e-03    1.85686e-03    1.28647e-02               30
       36    4.76685e-02   1.79769e-03    1.26749e-02    2.13871e-02               40
       37    3.18124e-02   1.76087e-03    2.04794e-02    1.24575e-02               34
       38    2.78475e+02   1.76087e-03    2.86925e-14    1.01601e-13              147
