Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
        0    1.09223e+01   7.06407e-03    1.00000e+00    1.00000e+00                0
        1    6.12192e-01   5.45742e-03    2.27439e-01    3.16277e-01               32
        2    6.47367e-01   5.05802e-03    7.31847e-02    1.41613e-01               29
        3    8.55944e-03   4.10981e-03    1.87467e-01    3.50667e-01               27
        4    2.57666e-02   4.07329e-03    8.88624e-03    2.27923e-01               16
        5    7.88208e-02   3.97472e-03    2.41975e-02    3.91475e-01               19
        6    7.34385e+05   3.55837e-03    1.04750e-01    1.98201e-01               27
        7    9.20702e-01   3.54284e-03    4.36374e-03    1.11697e-04              104
        8    1.00840e-01   3.42293e-03    3.38476e-02    8.17271e-02               32
        9    1.63108e+03   3.29305e-03    3.79440e-02    2.76558e-02               32
       10    4.05711e-01   3.27870e-03    4.35694e-03    7.33613e-04               77
       11    6.05589e+01   3.13462e-03    4.39437e-02    9.86116e-02               29
       12    6.76769e-01   3.01968e-03    3.66674e-02    1.09159e-01               51
       13    9.82905e-02   3.01026e-03    3.12175e-03    1.39948e-02               41
       14    6.96086e-02   2.99928e-03    3.64615e-03    1.86402e-02               34
       15    5.77285e-03   2.99715e-03    7.10458e-04    6.13031e-03               39
       16    3.26061e-03   2.99665e-03    1.66217e-04    5.23251e-03               33
       17    6.87636e-02   2.99510e-03    5.18469e-04    1.41641e-02               28
       18    4.02578e-03   2.82790e-03    5.58231e-02    1.24211e-01               32
       19    6.07716e-02   2.82563e-03    8.03198e-04    2.40070e-02               27
       20    6.57438e-03   2.82526e-03    1.29841e-04    6.51992e-03               45
       21    2.13577e-02   2.81938e-03    2.08152e-03    4.89874e-02               26
       22    4.01581e-03   2.81792e-03    5.20791e-04    1.37998e-02               37
       23    4.83537e-03   2.81740e-03    1.84461e-04    4.97791e-03               34
       24    3.54669e-03   2.81684e-03    1.97437e-04    7.00160e-03               33
       25    1.27928e-02   2.81516e-03    5.95449e-04    1.34894e-02               28
       26    7.24218e-03   2.81348e-03    5.97523e-04    1.21250e-02               34
       27    4.37429e-03   2.81160e-03    6.67049e-04    1.46174e-02               30
       28    8.28659e-03   2.79528e-03    5.80599e-03    1.25789e-01               17
       29    2.59153e-02   2.77201e-03    8.32324e-03    8.43350e-02               21
       30    1.12462e-02   2.76045e-03    4.17225e-03    8.48548e-02               26
       31    1.25413e-02   2.74235e-03    6.55780e-03    1.71163e-01               19
       32    6.59155e-03   2.72880e-03    4.93774e-03    1.09247e-01               22
       33    5.06680e-03   2.71884e-03    3.65017e-03    6.36804e-02               22
       34    5.83204e-03   2.71000e-03    3.25292e-03    5.64756e-02               21
       35    1.15837e-02   2.68374e-03    9.68807e-03    1.39674e-01               17
       36    1.70828e-02   2.66027e-03    8.74626e-03    1.28806e-01               20
       37    3.38531e-02   2.63104e-03    1.09867e-02    1.07443e-01               22
       38    2.14868e-02   2.57354e-03    2.18560e-02    1.39521e-01               23
       39    1.77176e-02   2.54776e-03    1.00182e-02    6.89885e-02               23
       40    1.11681e-02   2.52065e-03    1.06400e-02    1.47056e-01               20
