Iteration       NormGrad          Cost      Equality     Inequality     Rel. cost         Rel. x     Line-search
        0    4.59999e+01   4.10787e-03   2.55011e-01   3.44989e-01   2.00000e+00    -1.73037e+00               2
        0    -4.81586e-14   -2.25910e-14   2.05249e-14   6.04388e-15   0.00000e+00    -6.81589e-08               1
        1    0.00000e+00   96595e-03   0.00000e+00   -1.05898e-05   3.24460e-02    5.26218e-03              26
        3    3.44306e-02   3.90580e-03   0.00000e+00   -9.00509e-06   4.61407e-03    1.06333e-03              35
        4    1.38606e-02   3.90761e-03   0.00000e+00   -6.50041e-06   1.66178e-02    3.24053e-03              17
        5    2.52257e-03   3.87444e-03   0.00000e+00   -6.22937e-06   4.98795e-04    1.07566e-03              29
        6    8.24774e-03   3.87172e-03   0.00000e+00   -6.10707e-06   5.78667e-03    8.91173e-04              30
        7    9.26360e-03   3.85759e-03   0.00000e+00   -7.53756e-06   2.78382e-03    1.15403e-03              27
        8    6.16680e-03   3.83806e-03   0.00000e+00   -7.46821e-06   1.13707e-01    2.91441e-03              28
        9    2.35099e+00   3.83766e-03   0.00000e+00   -7.46775e-06   9.52451e-01    2.33760e-05              44
       10    2.32270e+00   3.83467e-03   0.00000e+00   -7.46945e-06   4.77278e-01    2.13928e-04              54
       11    5.37874e-03   3.78679e-03   0.00000e+00   -6.07522e-06   1.85172e-01    5.87659e-03              15
       12    9.88060e-03   3.78443e-03   0.00000e+00   -5.87464e-06   1.03873e-01    2.82517e-03              22
       13    1.89961e-02   3.78941e-03   0.00000e+00   -5.16250e-06   4.93878e-02    3.96506e-03              19
       14    1.98237e-02   3.77016e-03   0.00000e+00   -3.05686e-06   1.09578e-02    3.91464e-03              18
       15    1.68258e-02   3.75812e-03   0.00000e+00   -3.04347e-06   5.43948e-03    1.03247e-03              33
       16    3.18609e-02   3.75838e-03   0.00000e+00   -1.91760e-06   4.29471e-03    5.43148e-03              19
       17    3.15896e-02   3.75740e-03   0.00000e+00   -1.91749e-06   3.08831e-03    8.48991e-05              40
       18    3.15910e-02   3.75717e-03   0.00000e+00   -1.91749e-06   2.43483e-03    1.99274e-05              64
       19    2.03906e-02   3.72994e-03   0.00000e+00   -2.05666e-06   5.71500e-03    2.62543e-03              36
       20    1.96660e-02   3.72883e-03   0.00000e+00   -2.05673e-06   6.86971e-03    9.58300e-05              46
       21    1.96562e-02   3.72882e-03   0.00000e+00   -2.05672e-06   3.78969e-03    3.03560e-06              59
       22    4.56020e-03   3.71494e-03   0.00000e+00   -1.72371e-06   6.34163e-04    3.75182e-03              32
       23    7.22800e-03   3.71302e-03   0.00000e+00   -1.63847e-06   4.48056e-03    1.91464e-03              31
       24    1.38961e-02   3.71020e-03   0.00000e+00   -1.49688e-06   2.72082e-03    1.96413e-03              27
       25    1.50125e+00   3.70896e-03   0.00000e+00   -1.49041e-06   1.86275e-01    6.08136e-04              42
       26    1.50688e+00   3.70887e-03   0.00000e+00   -1.48802e-06   9.46894e-02    1.91485e-05              40
       27    2.13134e+00   3.70887e-03   0.00000e+00   -1.48793e-06   4.94502e-02    1.26511e-06              57
       28    4.45518e+00   3.70410e-03   0.00000e+00   -8.27475e-07   3.11606e-02    2.42618e-03              30
       29    4.44409e+00   3.70410e-03   0.00000e+00   -8.27475e-07   1.69661e-02    9.82403e-18             167
Local minimum possible, relative step size smaller than tolerance. Constraints satisfied.
