Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
        0    5.70360e+00   2.31729e-03    1.00000e+00    1.00000e+00                0
        1    1.07001e-01   1.36482e-03    4.11028e-01    2.85690e-01               31
        2    2.30578e-01   1.30869e-03    4.11225e-02    1.13517e-01               26
        3    1.26612e-02   1.10791e-03    1.53421e-01    3.14460e-01               26
        4    2.00500e-03   6.31642e-04    4.29882e-01    4.92830e-01               15
        5    1.54310e-02   5.82420e-04    7.79261e-02    1.07514e-01               13
        6    3.60219e-02   5.37478e-04    7.71642e-02    2.51169e-01               18
        7    9.56866e-02   4.81403e-04    1.04329e-01    3.75311e-01               20
        8    5.30734e-03   4.53387e-04    5.81981e-02    9.42303e-02               30
        9    8.11942e-03   4.01700e-04    1.14002e-01    3.96200e-01               11
       10    6.57091e-03   3.97357e-04    1.08115e-02    2.11897e-02               26
       11    6.48710e-03   3.89002e-04    2.10242e-02    6.41887e-02               21
       12    2.14772e-02   2.59023e-04    3.34135e-01    2.73774e-01               15
       13    4.94127e-03   2.33228e-04    9.95870e-02    2.19239e-01               22
       14    1.45679e-03   2.21745e-04    4.92346e-02    7.82891e-02               21
       15    2.33930e-03   2.01749e-04    9.01762e-02    2.41762e-01               12
       16    2.72156e-03   1.92829e-04    4.42136e-02    5.48829e-02               21
       17    1.90686e-03   1.81615e-04    5.81531e-02    1.62110e-01               17
       18    7.12461e-04   1.79466e-04    1.18315e-02    4.95683e-02               21
       19    4.79742e-03   1.67168e-04    6.85297e-02    1.07897e-01               14
       20    5.66955e-04   1.61862e-04    3.17368e-02    1.53032e-01               21
       21    1.70423e-03   1.57586e-04    2.64222e-02    5.92996e-02               16
       22    4.82822e-03   1.41281e-04    1.03466e-01    2.09414e-01               15
       23    6.13037e-04   1.40155e-04    7.97129e-03    2.06948e-02               30
       24    5.69806e-04   1.34538e-04    4.00725e-02    5.15434e-02               17
       25    3.45900e-04   1.31966e-04    1.91202e-02    9.95492e-02               14
       26    1.55103e-03   1.30846e-04    8.48305e-03    2.54700e-02               19
       27    1.57485e-03   1.22526e-04    6.35904e-02    1.85575e-01               17
       28    3.80550e-04   1.21016e-04    1.23259e-02    8.07001e-02               21
       29    1.18379e-04   1.20249e-04    6.33177e-03    1.60279e-02               22
       30    2.87627e-04   1.16682e-04    2.96657e-02    9.27161e-02               10
