Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search
        0    4.04649e+09   3.09074e+00    1.00000e+00    1.00000e+00                0
        1    8.54697e+06   2.96368e+00    4.11068e-02    5.83371e-04              101
        2    1.57530e+06   2.49376e+00    1.58560e-01    3.38738e-02               69
        3    2.73447e+06   2.35383e+00    5.61125e-02    1.97231e-02               68
        4    1.14829e+07   2.28012e+00    3.13142e-02    3.34023e-02               69
        5    9.98976e+05   2.13094e+00    6.54261e-02    3.06135e-02               76
        6    3.62391e+06   2.01012e+00    5.66975e-02    4.20049e-02               65
        7    1.92180e+06   1.90475e+00    5.24199e-02    8.33100e-02               68
        8    3.83447e+05   1.83949e+00    3.42647e-02    2.01093e-02               72
        9    4.90885e+06   1.73004e+00    5.94967e-02    5.11532e-02               62
       10    1.57049e+05   1.45370e+00    1.59731e-01    7.22921e-02               72
       11    7.48588e+05   1.44479e+00    6.13283e-03    8.24330e-03               68
       12    1.42467e+06   1.41659e+00    1.95200e-02    5.18386e-02               67
       13    3.55630e+05   1.21086e+00    1.45224e-01    1.02544e-01               67
       14    4.64635e+05   1.20792e+00    2.43434e-03    3.82331e-03               76
       15    1.25105e+06   1.19216e+00    1.30451e-02    2.02281e-02               70
       16    7.57747e+04   1.15068e+00    3.47886e-02    2.27675e-02               74
       17    2.24325e+05   1.13966e+00    9.57679e-03    1.65391e-02               64
       18    1.12550e+05   1.12514e+00    1.27428e-02    2.13663e-02               68
       19    2.36443e+05   1.11724e+00    7.02720e-03    1.19160e-02               68
       20    4.39481e+05   1.11018e+00    6.31989e-03    2.61500e-02               68
       21    2.08068e+07   1.02905e+00    7.30716e-02    1.51596e-01               63
       22    1.79362e+05   1.00117e+00    2.71004e-02    4.18056e-02               86
       23    3.01156e+05   9.62267e-01    3.88525e-02    5.09512e-02               64
       24    3.25170e+05   9.50957e-01    1.17543e-02    2.28276e-02               70
       25    7.26152e+05   9.34036e-01    1.77927e-02    4.90736e-02               67
       26    1.55789e+06   8.89178e-01    4.80267e-02    7.02067e-02               69
       27    1.50400e+06   7.96546e-01    1.04177e-01    9.52943e-02               71
       28    1.74792e+05   7.76732e-01    2.48751e-02    7.19183e-02               72
       29    1.00200e+06   7.28283e-01    6.23746e-02    1.23417e-01               60
       30    2.11892e+04   7.25371e-01    3.99863e-03    1.22074e-02               78
       31    2.46158e+05   7.10357e-01    2.06985e-02    2.84363e-02               58
       32    1.80633e+05   6.26464e-01    1.18100e-01    5.57099e-02               66
       33    2.62048e+04   6.22889e-01    5.70582e-03    1.67133e-02               70
       34    3.89990e+04   6.17990e-01    7.86625e-03    1.04462e-02               64
       35    2.90739e+04   6.15437e-01    4.13135e-03    6.80258e-03               68
       36    7.47618e+04   6.10632e-01    7.80650e-03    2.09246e-02               62
       37    2.61685e+04   6.09887e-01    1.22020e-03    4.72779e-03               73
       38    2.92788e+04   6.05398e-01    7.36073e-03    2.58562e-02               61
       39    2.63126e+04   6.00718e-01    7.73020e-03    1.94344e-02               63
       40    3.07685e+04   5.96594e-01    6.86572e-03    1.47057e-02               64
       41    3.87374e+04   5.92754e-01    6.43517e-03    2.23708e-02               63
       42    2.36856e+04   5.79066e-01    2.30921e-02    5.63879e-02               60
       43    1.64466e+04   5.66135e-01    2.23311e-02    4.44791e-02               59
       44    2.34107e+04   5.57503e-01    1.52481e-02    3.23552e-02               59
       45    1.10042e+04   5.49048e-01    1.51661e-02    3.78908e-02               60
       46    1.25455e+04   5.44591e-01    8.11689e-03    1.51610e-02               61
       47    4.48690e+03   5.42998e-01    2.92515e-03    1.82248e-02               61
       48    6.32051e+03   5.40382e-01    4.81856e-03    1.80924e-02               57
       49    7.50977e+03   5.38383e-01    3.69818e-03    1.40319e-02               60
