Iteration       NormGrad          Cost      Equality     Inequality     Rel. cost         Rel. x     Line-search
        0    2.78997e-02   3.55214e-02   5.15681e-03   -2.10935e-03   1.00000e+00    1.00000e+00               0
        1    7.17406e-02   4.35759e-02   3.65268e-03   -3.22240e-03   1.52412e+00    4.71206e-02              14
        2    4.78113e-01   4.17582e-02   3.64165e-03   -3.10782e-03   2.42072e+00    4.58818e-02              14
        3    9.21621e-01   7.70509e-02   7.73577e-04   -2.81616e-03   1.64861e+00    4.20273e-02              18
        4    1.14888e+00   5.32658e-02   4.69481e-04   -2.29724e-03   6.76259e-01    2.55356e-02              30
        5    3.43230e-01   6.68471e-02   1.55333e-04   -2.56080e-03   1.65562e+00    4.89984e-02              31
        6    3.58841e-01   6.59569e-02   1.91373e-04   -2.48506e-03   6.18747e-01    1.03842e-02              32
        7    3.82007e-01   6.53286e-02   2.31885e-04   -2.43378e-03   4.31249e-01    9.20125e-03              38
        8    3.63834e-01   6.96335e-02   1.82631e-04   -2.58550e-03   2.92748e-01    1.97373e-02              23
        9    3.34537e-01   6.90428e-02   1.62268e-04   -2.57384e-03   1.40879e-01    5.30163e-03              37
       10    3.30561e-01   6.89484e-02   1.59612e-04   -2.57149e-03   3.97032e-01    1.50730e-03              54
       11    3.30105e-01   6.89401e-02   1.59514e-04   -2.57123e-03   7.06252e-01    3.04978e-04              61
       12    2.19304e-01   5.84659e-02   8.75178e-04   -2.42261e-03   8.48946e-01    4.85417e-02              21
       13    2.19889e-01   5.80173e-02   8.76097e-04   -2.40274e-03   6.29684e-01    9.30419e-04              46
       14    2.19733e-01   5.79455e-02   8.76124e-04   -2.39969e-03   8.24231e-01    1.43441e-04              69
       15    2.19728e-01   5.79396e-02   8.76124e-04   -2.39944e-03   5.25799e+00    1.23225e-05             104
       16    9.98957e+02   5.79389e-02   8.76124e-04   -2.39941e-03   2.82242e+00    1.76174e-06              78
       17    2.23370e+03   5.79388e-02   8.76124e-04   -2.39941e-03   1.46317e+00    2.58262e-07              90
       18    2.39455e-01   5.70970e-02   6.18838e-04   -2.34448e-03   7.36722e-01    2.17371e-02              34
       19    2.39516e-01   5.70296e-02   6.18847e-04   -2.34122e-03   4.18512e-01    1.79055e-04              56
       20    2.34024e-01   5.56861e-02   7.99590e-04   -2.32636e-03   1.27735e+00    1.42886e-03              50
       21    2.33887e-01   5.55948e-02   7.99655e-04   -2.32243e-03   1.07505e+00    2.68452e-04              57
       22    2.35321e-01   5.56088e-02   7.89999e-04   -2.31983e-03   1.74176e+00    1.16496e-03              54
       23    2.50504e-01   5.80047e-02   3.80813e-04   -2.31967e-03   1.67462e+00    3.53202e-03              47
       24    2.48572e-01   5.85284e-02   3.29006e-04   -2.32409e-03   2.24606e+00    2.71742e-03              50
       25    2.48325e-01   5.84718e-02   3.28257e-04   -2.32193e-03   2.28522e+00    3.77192e-04              53
       26    1.89453e+00   5.07310e-01   5.33554e-02   -1.02474e-02   1.41538e+02    2.29637e+02               0
       27    6.79293e+05   3.02364e+00   1.28529e-01   -5.45212e-02   2.12219e+01    1.44245e+00               0
       28    1.25611e+07   4.07685e-01   8.79859e-03   -1.13709e-02   5.41409e+01    3.55676e-03              50
       29    5.41551e+07   3.14183e-01   2.94349e-03   -2.20559e-02   3.06089e+02    6.67628e-06              70
       30    5.41551e+07   3.14183e-01   2.94349e-03   -2.20559e-02   3.41214e+02    3.49908e-13             145
       31    8.68649e+07   1.92840e-01   3.59904e-03   -1.78824e-02   4.95331e+02    8.89702e+01               0
       32    3.03912e+08   1.63811e+00   1.09346e-01   -1.40081e-02   3.38419e+03    3.52286e-08              88
       33    7.50012e+08   3.75323e-01   5.25992e-03   -1.59978e-02   3.16401e+03    2.19767e+01               0
       34    8.73685e+07   2.07101e-01   9.09439e-04   -1.48819e-02   5.88562e+03    2.32294e-08              76
       35    2.18560e+07   1.27737e+00   1.15708e-03   -2.16695e-02   5.58923e+03    1.71761e-08              71
       36    2.17787e+07   1.27736e+00   1.15708e-03   -2.16693e-02   6.27262e+02    8.75256e-14             128
       37    8.25034e+07   1.10142e+00   1.23637e-03   -1.99158e-02   1.20183e+03    9.89227e-10              97
       38    2.22264e+07   2.41586e-01   1.91108e-03   -1.02346e-02   1.09902e+03    2.73930e-09              83
