Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search interations
        0    5.70360e+00   2.31729e-03    1.00000e+00    1.00000e+00                0   (INITIAL GUESS)
        1    1.07001e-01   1.36482e-03    4.11028e-01    1.49587e-04               31
        2    2.30578e-01   1.30869e-03    4.11225e-02    6.30249e-05               26
        3    1.26612e-02   1.10791e-03    1.53421e-01    1.63691e-04               26
        4    2.00500e-03   6.31642e-04    4.29882e-01    2.57306e-04               15
        5    1.54310e-02   5.82420e-04    7.79259e-02    7.22782e-05               13
        6    3.60218e-02   5.37479e-04    7.71630e-02    1.70566e-04               18
        7    9.56832e-02   4.81402e-04    1.04334e-01    2.67981e-04               20
        8    5.30694e-03   4.53384e-04    5.82004e-02    7.84849e-05               30
        9    8.13966e-03   4.01691e-04    1.14015e-01    3.48127e-04               11
       10    6.56130e-03   3.97367e-04    1.07638e-02    2.01318e-05               26
       11    6.52603e-03   3.88819e-04    2.15123e-02    6.06990e-05               21
       12    5.84332e-02   3.58709e-04    7.74410e-02    3.20287e-04               14
       13    5.77599e-02   3.32097e-04    7.41861e-02    1.53939e-04               27
       14    1.47038e-02   3.17712e-04    4.33171e-02    1.51204e-04               27
       15    4.66736e-03   3.16517e-04    3.76042e-03    1.01256e-05               33
       16    9.11449e-03   3.03355e-04    4.15835e-02    5.82346e-05               20
       17    1.33181e-02   2.78129e-04    8.31587e-02    1.09810e-04               20
       18    6.70536e-03   2.49029e-04    1.04627e-01    1.07250e-04               22
       19    2.89906e-03   2.48992e-04    1.50189e-04    4.78372e-07               44
       20    4.08415e-02   2.31648e-04    6.96544e-02    7.27480e-05               18
       21    1.59045e-03   2.15759e-04    6.85902e-02    1.11407e-04               28
       22    1.00762e-02   2.11309e-04    2.06262e-02    5.33381e-05               18
       23    3.27440e-03   1.72909e-04    1.81725e-01    1.72970e-04               21
       24    5.38429e-04   1.72830e-04    4.54408e-04    1.41416e-06               38
       25    2.95739e-03   1.67777e-04    2.92364e-02    3.82144e-05               17
       26    3.74132e-03   1.65690e-04    1.24422e-02    3.63497e-05               25
       27    8.13304e-03   1.61096e-04    2.77261e-02    1.14206e-04               21
       28    2.98342e-03   1.55717e-04    3.33910e-02    8.15898e-05               26
       29    3.27052e-04   1.54177e-04    9.89041e-03    3.03465e-05               26
       30    8.26694e-04   1.51062e-04    2.02029e-02    4.55261e-05               15
       31    7.78256e-03   1.46144e-04    3.25558e-02    1.40634e-04               14
       32    3.17206e-04   1.45134e-04    6.90722e-03    2.37389e-05               32
       33    2.25001e-04   1.43985e-04    7.91645e-03    2.46800e-05               18
       34    2.24333e-03   1.41804e-04    1.51474e-02    6.34997e-05               12
       35    5.02224e-03   1.36460e-04    3.76897e-02    1.04540e-04               20
       36    1.14134e-04   1.30522e-04    4.35137e-02    9.51245e-05               24
       37    7.18960e-04   1.27754e-04    2.12078e-02    4.08614e-05               12
       38    8.17644e-04   1.24205e-04    2.77822e-02    1.07870e-04               16
       39    6.72511e-05   1.20139e-04    3.27312e-02    6.54916e-05               19
       40    1.77610e-04   1.18010e-04    1.77238e-02    3.93840e-05               11
       41    1.11660e-04   1.15429e-04    2.18681e-02    1.35872e-04               10
       42    1.26619e-04   1.14659e-04    6.67173e-03    2.09473e-05               16
       43    9.80287e-05   1.13775e-04    7.71187e-03    1.98976e-05               17
       44    1.56895e-04   1.11782e-04    1.75165e-02    6.49497e-05               11
       45    1.09513e-04   1.09790e-04    1.78202e-02    1.08235e-04               11
       46    2.79794e-05   1.09030e-04    6.92064e-03    2.00288e-05               17
       47    4.06776e-05   1.07311e-04    1.57658e-02    8.99654e-05                5
       48    4.98843e-05   1.06877e-04    4.04498e-03    4.16896e-05               11
       49    3.31575e-05   1.06253e-04    5.83722e-03    3.24583e-05               13
       50    1.69270e-05   1.05894e-04    3.38286e-03    3.73420e-05               11
       51    3.02111e-05   1.04942e-04    8.98640e-03    5.05179e-05                7
       52    1.41304e-05   1.04362e-04    5.53385e-03    3.07792e-05               12
       53    1.20802e-05   1.03375e-04    9.45216e-03    5.49871e-05                6
       54    1.76166e-05   1.03060e-04    3.04489e-03    2.90885e-05                9
       55    8.21778e-06   1.02583e-04    4.63500e-03    3.39381e-05               10
       56    1.57748e-05   1.02138e-04    4.33524e-03    6.67869e-05                4
       57    1.39711e-05   1.01979e-04    1.55643e-03    1.63344e-05               13
       58    4.70158e-06   1.01363e-04    6.04211e-03    4.44249e-05                8
       59    3.80111e-06   1.00714e-04    6.40168e-03    7.15771e-05                2
       60    3.84573e-05   1.00558e-04    1.54745e-03    2.03422e-05                7
       61    3.96388e-06   1.00111e-04    4.44840e-03    5.21911e-05               13
       62    1.23124e-05   9.96540e-05    4.56288e-03    3.61136e-05                4
       63    1.14568e-05   9.94124e-05    2.42398e-03    4.64071e-05                8
       64    5.22282e-06   9.91905e-05    2.23245e-03    2.79691e-05               10
       65    1.47156e-05   9.88828e-05    3.10146e-03    5.09463e-05                4
       66    1.07797e-05   9.86692e-05    2.16090e-03    2.15311e-05               12
       67    1.54608e-05   9.83163e-05    3.57583e-03    5.76511e-05                6
       68    9.51976e-06   9.82021e-05    1.16150e-03    1.18828e-05               14
       69    9.58764e-06   9.77304e-05    4.80368e-03    4.82278e-05                6
       70    1.43155e-05   9.69280e-05    8.21035e-03    6.17395e-05                5
       71    7.58768e-06   9.67221e-05    2.12399e-03    1.83900e-05               12
       72    1.01437e-05   9.63599e-05    3.74499e-03    5.56142e-05                5
       73    6.57617e-06   9.57864e-05    5.95169e-03    7.94822e-05                4
       74    3.84970e-05   9.51783e-05    6.34838e-03    3.91678e-05                5
       75    2.40568e-05   9.45157e-05    6.96184e-03    4.68140e-05               12
       76    7.32215e-06   9.38524e-05    7.01762e-03    6.07086e-05                8
