Iteration       NormGrad          Cost      Rel. cost         Rel. x      Line-search interations
        0    1.29936e+15   8.10064e+05    1.00000e+00    1.00000e+00                0   (INITIAL GUESS)
        1    8.09262e+11   1.13774e+05    8.59549e-01    1.18056e+00               86
        2    1.22696e+05   6.38708e+04    4.38618e-01    3.55120e+00               65
        3    1.51903e+02   1.37004e+02    9.97855e-01    3.66449e-01                0
        4    4.45321e-02   6.22611e+01    5.45551e-01    1.98588e-02                0
        5    7.04487e-03   6.22361e+01    4.01594e-04    2.05303e-04                0
        6    1.08960e-01   6.22295e+01    1.07030e-04    1.05406e-04                0
        7    1.90546e-01   6.21460e+01    1.34153e-03    2.08891e-03                0
        8    6.53058e-01   6.19868e+01    2.56105e-03    5.04076e-03                0
        9    3.23032e+00   6.14264e+01    9.04039e-03    1.88862e-02                0
       10    1.16034e+02   5.69956e+01    7.21324e-02    1.00252e-01                0
       11    6.48816e+00   5.37771e+01    5.64687e-02    1.52640e-01               12
       12    8.89504e-01   5.29245e+01    1.58543e-02    8.15438e-02                1
       13    9.24622e-01   5.22243e+01    1.32301e-02    2.74357e-02                0
       14    4.53761e-01   5.18032e+01    8.06464e-03    4.14642e-02                0
       15    4.53436e+00   5.13821e+01    8.12743e-03    7.26355e-05                0
       16    5.61942e+00   4.80206e+01    6.54227e-02    6.30850e-02                0
       17    3.44128e+00   4.60306e+01    4.14397e-02    1.34467e-01                1
       18    2.84033e+00   4.41378e+01    4.11206e-02    2.36070e-02                0
       19    7.78274e+00   4.16214e+01    5.70135e-02    8.00374e-02                0
       20    6.04860e+00   4.10124e+01    1.46302e-02    1.50486e-01                3
       21    1.90847e+00   3.84014e+01    6.36639e-02    5.38301e-02                0
       22    1.26100e+01   3.65969e+01    4.69916e-02    6.93391e-02                0
       23    2.78894e+00   3.52696e+01    3.62673e-02    1.42242e-01                6
       24    2.51404e+00   3.36177e+01    4.68352e-02    2.20264e-02                0
       25    5.82206e+00   3.14330e+01    6.49880e-02    9.48699e-02                0
       26    3.69657e+00   3.05260e+01    2.88551e-02    1.59179e-01                3
       27    2.25025e+00   2.84745e+01    6.72065e-02    2.51964e-02                0
       28    5.54547e+00   2.64803e+01    7.00329e-02    1.12600e-01                0
       29    2.45744e+00   2.55702e+01    3.43698e-02    1.54472e-01                4
       30    2.79956e+00   2.38940e+01    6.55518e-02    2.36950e-03                0
       31    2.37113e+00   2.17779e+01    8.85633e-02    1.66861e-01                0
       32    4.35783e+00   2.04609e+01    6.04722e-02    1.73897e-01                0
       33    3.73505e+00   1.79510e+01    1.22668e-01    9.01893e-02                0
       34    2.12942e+00   1.71761e+01    4.31711e-02    2.41463e-01                2
       35    1.00441e+00   1.62857e+01    5.18361e-02    9.63607e-02                0
       36    5.40103e+00   1.53490e+01    5.75195e-02    1.07403e-01                0
       37    3.06229e+00   1.49852e+01    2.37009e-02    2.93931e-01                4
       38    8.11654e-01   1.38505e+01    7.57170e-02    1.67442e-01                0
       39    5.75432e+00   1.30819e+01    5.54959e-02    1.10842e-01                0
       40    2.01459e+00   1.25716e+01    3.90059e-02    3.12295e-01                5
       41    7.42457e-01   1.17400e+01    6.61482e-02    1.58512e-01                0
